SUBJECT,GROUP,ITEM,GRAMM,RULE,ACC,DPRIME,RT,CONF,SOURCE,CHAN,WM,LLAMAB,LLAMAD,LLAMAE,LLAMAF,LLAMATOTAL
2,2,1,1,1,0,0.487642026,2853.02,,,0.275238095,0.85,25,15,10,20,70
2,2,3,1,1,0,0.487642026,2081.97,,,0.275238095,0.85,25,15,10,20,70
2,2,7,1,1,1,0.487642026,1738.68,,,0.275238095,0.85,25,15,10,20,70
2,2,11,1,1,1,0.487642026,1538.18,,,0.275238095,0.85,25,15,10,20,70
2,2,19,1,1,0,0.487642026,903.96,,,0.275238095,0.85,25,15,10,20,70
2,2,28,1,1,0,0.487642026,1704.57,,,0.275238095,0.85,25,15,10,20,70
2,2,46,1,1,0,0.487642026,493.65,,,0.275238095,0.85,25,15,10,20,70
2,2,54,1,1,1,0.487642026,2069.19,,,0.275238095,0.85,25,15,10,20,70
2,2,62,1,1,1,0.487642026,1214.49,,,0.275238095,0.85,25,15,10,20,70
2,2,72,1,1,0,0.487642026,467.52,,,0.275238095,0.85,25,15,10,20,70
2,2,6,0,1,0,0.487642026,2697.13,,,0.275238095,0.85,25,15,10,20,70
2,2,14,0,1,0,0.487642026,2018.12,,,0.275238095,0.85,25,15,10,20,70
2,2,26,0,1,1,0.487642026,920.16,,,0.275238095,0.85,25,15,10,20,70
2,2,30,0,1,1,0.487642026,552.87,,,0.275238095,0.85,25,15,10,20,70
2,2,39,0,1,1,0.487642026,2302.9,,,0.275238095,0.85,25,15,10,20,70
2,2,44,0,1,1,0.487642026,429.35,,,0.275238095,0.85,25,15,10,20,70
2,2,63,0,1,0,0.487642026,720.16,,,0.275238095,0.85,25,15,10,20,70
2,2,78,0,1,1,0.487642026,3373.48,,,0.275238095,0.85,25,15,10,20,70
2,2,23,1,2,1,0.487642026,3241.69,,,0.275238095,0.85,25,15,10,20,70
2,2,29,1,2,1,0.487642026,1200.67,,,0.275238095,0.85,25,15,10,20,70
2,2,34,1,2,0,0.487642026,1685.11,,,0.275238095,0.85,25,15,10,20,70
2,2,41,1,2,,0.487642026,,,,0.275238095,0.85,25,15,10,20,70
2,2,45,1,2,0,0.487642026,237.5,,,0.275238095,0.85,25,15,10,20,70
2,2,51,1,2,0,0.487642026,2270.88,,,0.275238095,0.85,25,15,10,20,70
2,2,52,1,2,,0.487642026,,,,0.275238095,0.85,25,15,10,20,70
