"","Subject","PrimeType","Target.Freq","Condition","Native","Item","Score","RT","New.Prime.File","Target.Text","New.Target.File","PrimeFreq","Test","PrimeFreq_num","TargetFreq_num","Notes","BadItem","ILR","Gender","Age","logRT","L2","ILRgr2","ILR3","logFreq","Exclude"
"1","_RUSA01_","irregular","high frequency","matched prime",0,"302001",1,1781.14,"t301i001","??????","t302i001","high","morpho",221.77,221.77,"",0,"ILR 2","Female",30,7.48500888772412,"L2",0,0,5.40164080877994,0
"2","_RUSA01_","irregular","high frequency","matched prime",0,"302017",1,989.08,"t301i017","????","t302i017","high","morpho",18.18,18.18,"",0,"ILR 2","Female",30,6.89677521813897,"L2",0,0,2.90032208874933,0
"3","_RUSA01_","irregular","high frequency","matched prime",0,"302003",1,555.44,"t301i003","?????","t302i003","high","morpho",197.22,197.22,"",0,"ILR 2","Female",30,6.31976059244502,"L2",0,0,5.28431985690418,0
"4","_RUSA01_","irregular","high frequency","matched prime",0,"302019",1,989.24,"t301i019","????","t302i019","high","morpho",17.51,17.51,"",0,"ILR 2","Female",30,6.89693697154626,"L2",0,0,2.86277214629776,0
"5","_RUSA01_","irregular","high frequency","matched prime",0,"302005",1,601.44,"t301i005","????","t302i005","high","morpho",145.62,145.62,"",0,"ILR 2","Female",30,6.39932677981587,"L2",0,0,4.98100048896656,0
"6","_RUSA01_","irregular","high frequency","matched prime",0,"302007",1,663.17,"t301i007","????","t302i007","high","morpho",140.66,140.66,"",0,"ILR 2","Female",30,6.49703136757478,"L2",0,0,4.94634563087987,0
"7","_RUSA01_","irregular","high frequency","matched prime",0,"302009",1,1048.42,"t301i009","?????","t302i009","high","morpho",49.09,49.09,"",0,"ILR 2","Female",30,6.95503954795558,"L2",0,0,3.89365534806996,0
"8","_RUSA01_","irregular","high frequency","matched prime",0,"302011",1,659.07,"t301i011","????","t302i011","high","morpho",42.3,42.3,"",0,"ILR 2","Female",30,6.4908297504092,"L2",0,0,3.74478708605223,0
"9","_RUSA01_","irregular","high frequency","matched prime",0,"302013",1,811.76,"t301i013","????","t302i013","high","morpho",21.67,21.67,"",0,"ILR 2","Female",30,6.69920472997083,"L2",0,0,3.07592881554827,0
"10","_RUSA01_","irregular","high frequency","unmatched prime",0,"302006",1,975.06,"t300i006","?????","t302i006","high","morpho",12.98,143.29,"",0,"ILR 2","Female",30,6.88249900756597,"L2",0,0,4.96487054872851,0
"11","_RUSA01_","irregular","high frequency","unmatched prime",0,"302008",1,828.88,"t300i008","?????","t302i008","high","morpho",12.67,55.7,"",0,"ILR 2","Female",30,6.7200753919435,"L2",0,0,4.01998014693324,0
"12","_RUSA01_","irregular","high frequency","unmatched prime",0,"302010",1,953.59,"t300i010","??????","t302i010","high","morpho",120.71,44.38,"",0,"ILR 2","Female",30,6.86023380967892,"L2",0,0,3.79278891750445,0
"13","_RUSA01_","irregular","high frequency","unmatched prime",0,"302012",1,915.36,"t300i012","??????","t302i012","high","morpho",45.6,26.14,"",0,"ILR 2","Female",30,6.81931743052022,"L2",0,0,3.26346670819608,0
"14","_RUSA01_","irregular","high frequency","unmatched prime",0,"302016",1,939.99,"t300i016","??????","t302i016","high","morpho",31.4,19.04,"",0,"ILR 2","Female",30,6.84586923690959,"L2",0,0,2.94654202936322,0
"15","_RUSA01_","irregular","high frequency","unmatched prime",0,"302002",1,942.51,"t300i002","?????","t302i002","high","morpho",236.21,216.14,"",0,"ILR 2","Female",30,6.84854652934546,"L2",0,0,5.37592634587502,0
"16","_RUSA01_","irregular","high frequency","unmatched prime",0,"302018",1,1173.51,"t300i018","??????","t302i018","high","morpho",22.53,17.87,"",0,"ILR 2","Female",30,7.0677545367716,"L2",0,0,2.88312332917134,0
"17","_RUSA01_","irregular","high frequency","unmatched prime",0,"302004",1,753.82,"t300i004","????","t302i004","high","morpho",14.81,186.2,"",0,"ILR 2","Female",30,6.62515361271773,"L2",0,0,5.22682136484297,0
"18","_RUSA01_","irregular","high frequency","unmatched prime",0,"302020",1,832.54,"t300i020","????","t302i020","high","morpho",13.77,17.45,"",0,"ILR 2","Female",30,6.72448126874838,"L2",0,0,2.85933964864844,0
